,,,,
,,,,
,"Workplace gender gap worldwide 2025, by type",,,
,"Workplace gender gap worldwide in 2025, by type",,,
,,,,
,Females in senior roles,30.80,in %,
,Women in parliaments,31,in %,
,Share of global workforce,41.20,in %,
,Women's hiring into leadership positions,36.20,in %,
,Women in STEM*,29.50,in %,
